11/08/2026
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
532529	New Delhi Television Limited	1128.24717
532531	STRIDES PHARMA SCIENCE LIMITED	921.72714
532538	UltraTech Cement Ltd	2946.79171
532539	UNO Minda Limited	5774.66598
532540	Tata Consultancy Services Ltd.	36180.87518
532541	COFORGE LIMITED	4426.90811
532543	GP Petroleums Limited	509.84383
532548	Century Plyboards (India) Ltd.	2221.72990
532553	Welspun Enterprises Limited	1384.13810
532555	NTPC Limited	96966.66134
532604	S.A.L. Steel Ltd.	1090.16700
532605	JBM Auto Limited	2364.94264
532609	Bharati Defence and Infrastruc	502.98942
532610	Dwarikesh Sugar Industries Ltd	1853.01470
532612	Indoco Remedies Ltd.	923.03605
532613	VIP Clothing Limited	901.29519
532614	Impex Ferro tech Ltd.	879.31604
532616	Xchanging Solutions Limited	1114.03716
532617	Jet Airways (India) Ltd	1135.97383
532621	Morarjee Textiles Limited	363.32349
532623	N.R.International Limited	106.74395
532624	Jindal Photo Limited	102.58326
532626	Pondy Oxides & Chemicals Limit	762.78198
532627	Jaiprakash Power Ventures Limi	68534.58827
532628	3i Infotech limited	2074.03767
532629	McNally Bharat Engineering Com	1721.51757
532630	Gokaldas Exports Ltd	732.73628
532633	Alldigi Tech Limited	152.38326
532636	IIFL FINANCE LIMITED	4253.81042
532637	Mangalam Drugs and Organics Lt	158.28248
532638	Shoppers Stop Ltd	1102.05662
532640	Cyber Media (India) Ltd.	206.58392
532641	Nandan Denim Limited	14414.71680
532642	JSW Holdings Limited	110.99625
532644	J.K. CEMENT LTD	772.51434
532645	Beeyu Overseas Ltd.	141.41453
532646	Uniply Industries Ltd.	1652.13420
532648	Yes Bank Ltd.	313876.02152
532649	Nectar Lifesciences Limited	1942.60970
532650	MSP STEEL & POWER LTD.	5667.96645
532651	SPL INDUSTRIES LIMITED	290.00004
532652	Karnataka Bank Ltd.	3782.98880
532654	McLeod Russel India Limited	1044.55735
532656	FACOR Alloys Limited	1955.47355
532657	FACOR Steels Limited	2067.83653
532658	Eon Electric Ltd	169.02466
532660	Vivimed Labs Ltd.	829.13915
532661	Rane (Madras)  Ltd.	276.37137
532662	HT MEDIA LIMITED	2327.73149
532663	Sasken Technologies Limited	151.86471
532665	Rajvir Industries Limited	39.94860
532666	FCS Software Solutions Ltd.	17095.53100
532667	SUZLON ENERGY LTD.	137437.63292
532668	Aurionpro Solutions Ltd.	552.61664
532669	SOLANA BIOFUELS LIMITED	589.93288
532670	Shree Renuka Sugars Ltd.	21284.89773
532673	K. M. Sugar Mills Ltd.	920.00170
532674	Bannari Amman Spinning Mills L	799.21375
532676	PBA INFRASTRUCTURE LTD.	135.00562
532678	Bombay Rayon Fashions Ltd.	3174.76479
532683	AIA Engineering Ltd.	933.20370
532684	Everest Kanto Cylinders Ltd.	1122.07682
532686	Kernex Microsystems (India) Lt	168.03622
532687	Repro India Ltd.	143.45338
532689	PVR INOX LIMITED	981.99962
532692	Radha Madhav Corporation Ltd.	912.95775
532693	Punj LLoyd Ltd	3355.95745
532694	Avio Smart Market Stack Limite	3045.76740
532695	Celebrity Fashions Ltd.	645.48346
532696	Educomp Solutions Ltd	1224.67168
532698	Nitin Spinners Ltd.	562.20000
532699	Royal Orchid Hotels Ltd	274.25215
532700	Entertainment Network (India)	476.70415
532701	CELLA SPACE LIMITED	201.51217
532702	Gujarat State Petronet Ltd.	5642.11376
532705	Jagran Prakashan Limited	2176.54272
532707	Dynemic Products Ltd.	124.28387
532708	GVK Power & Infrastructure Ltd	15792.10400
532710	Sadbhav Engineering Ltd.	1715.70800
532712	Reliance Communications Limite	27655.33050
532713	Sakuma Exports Ltd.	15677.18640
532714	KEC International Ltd.	2662.00000
532715	Gitanjali Gems Ltd.	1186.16005
532716	Gillanders Arbuthnot & Co. Ltd	213.42346
532717	Indo Tech Transformers Limited	106.20000
532718	Pratibha Industries Ltd.	2385.97348
532719	B L Kashyap and Sons Ltd	2254.40000
532720	Mahindra & Mahindra Financial	13899.71160
532721	VISA Chrome Limited	1457.89500
532722	Nitco Ltd.	2405.66105
532723	MPDL LIMITED	74.12524
532725	Solar Industries India Limited	904.90055
532726	GALLANTT ISPAT LIMITED	2412.80945
532728	Malu Paper Mills Limited	170.59250
532729	Uttam Sugar Mills Ltd	381.38120
532730	STL Global Ltd	274.52680
532732	Kewal Kiran Clothing Ltd.	616.25185
532733	SUN TV NETWORK LIMITED	3940.84620
532734	GODAWARI POWER AND ISPAT LTD.	6730.97430
532735	R Systems International Limite	1184.92688
532737	Emkay Global Financial Service	272.30131
532738	TWAMEV CONSTRUCTION AND INFRAS	1550.00000
532740	Lokesh Machines Limited	212.96770
532741	Kamdhenu Limited	2818.83000
532742	PAUSHAK LIMITED (formerly know	246.56912
532744	GTN Textiles Ltd. (formerly kn	116.40478
532745	Inditrade Capital Limited	233.53626
532746	Unity Infraprojects Limited	1208.76802
532748	Prime Focus Limited	7764.90547
532749	Allcargo Logistics Ltd	14977.78469
532751	EASUN REYROLLE LTD.	307.94141
532754	GMR Airports Limited	105589.75952
532755	Tech Mahindra Limited	9800.84806
532756	CIE Automotive India Limited	3793.62377
532757	VOLTAMP TRANSFORMERS LIMITED	101.17120
532759	ATLANTAA LIMITED	815.00000
532761	HANDSON GLOBAL MANAGEMENT (HGM	125.94972
532762	Action Construction Equipments	1190.83196
532764	GeeCee Ventures Limited	209.11729
532766	Richa Industries Limited	234.30000
532767	Gayatri Projects Limited	4642.99000
532768	FIEM INDUSTRIES LIMITED	263.19660
532771	JHS Svendgaard Laboratories Lt	874.05767
532772	DCB Bank Limited	3221.48687
532773	Global Vectra Helicorp Ltd.	140.00000
532774	Inspirisys Solutions Limited	396.16873
532775	GTL Infrastructure Limited	128109.67312
532776	SHIVAM AUTOTECH LIMITED	1314.95219
532777	Info Edge(India) Ltd.	6484.20600
532779	TORRENT POWER LIMITED	5039.03543
532780	Parsvnath Developers Ltd.	4351.81170
532782	SUTLEJ TEXTILES & INDUSTRIES L	1638.28620
532783	LT Foods Limited	3472.52944
532784	Sobha Limited	1069.32806
532785	Ruchira Papers Ltd	298.44985
532788	XL Energy Limited	227.74397
532790	TANLA PLATFORMS LIMITED	1326.17359
532794	Zee Media Corporation Limited	6554.28680
532795	Siti Networks Limited	8720.53848
532796	Lumax Auto Technologies Ltd.	681.57705
532797	AUTOLINE INDUSTRIES LTD.	453.75401
532798	Network 18 Media & Investments	15420.00018
532799	Hubtown Limited	1421.00657
532801	Cambridge Technology Enterpris	196.31015
532804	Technocraft Industries (India)	226.72798
532805	Redington Limited	7817.74431
532806	AI CHAMPDANY INDUSTRIES LIMITE	307.53831
532807	Cineline India Limited	342.66434
532808	Pearl Global Industries Limite	461.90542
532809	Firstsource Solutions Ltd.	6969.90826
532810	Power Finance Corporation Ltd	33001.01760
532811	Ahluwalia Contracts (India) Lt	669.87560
532812	Transwarranty Finance Limited	551.16194
532813	C & C Constructions Ltd.	254.45265
532814	Indian Bank	13469.63981
532815	SMS Pharmaceuticals Ltd	936.52030
532817	Oriental Trimex Limited	735.07265
532820	E-Land Apparel Limited	479.90469
532821	Indus Fila Limited	207.44717
532822	VODAFONE IDEA  LIMITED	1083430.35001
532823	Euro Ceremics Ltd	337.37717
532825	JAGJANANI TEXTILES LIMITED	156.00000
532826	Raj Television Network Ltd	519.13344
532827	Page Industries Ltd.	111.53874
532828	AMD Industries Ltd	191.66749
532829	LEHAR FOOTWEARS LIMITED	176.78799
532830	ASTRAL LIMITED	2686.50163
532831	Abhishek Corporation Ltd	160.08462
532832	EMBASSY DEVELOPMENTS LIMITED	13906.33433
532834	Camlin Fine Sciences Ltd	1920.96613
532835	ICRA Limited	96.51231
532839	Dish TV India Limited	18412.56154
532841	SAHYADRI INDUSTRIES LTD.	109.46300
532842	Sree Rayalaseema Hi-Strength H	171.64821
532843	Fortis Healthcare Ltd	7549.58148
532845	TGB Banquets and Hotels Limite	292.86400
532847	HILTON METAL FORGING LIMITED	514.66551
532848	Delta Corp Limited	2677.71097
532850	MIC Electronics Limited	2410.11560
532851	Insecticides India Ltd.	290.97837
532852	McDowell Holdings Limited	139.92258
532853	Asahi Songwon Colors Ltd.	117.87262
532854	NITIN FIRE PROTECTION INDUSTRI	2922.69622
532855	Haryana Capfin Ltd.	52.08681
532856	Time Technoplast Limited	4936.35379
532859	Hinduja Global Solutions Limit	465.20285
532864	Nelcast Limited	870.01200
532866	Quintegra Solutions Limited	268.13830
532867	V2 Retail Limited	3646.37550
532868	DLF LIMITED	24753.11706
532869	Tarmat Limited	250.64255
532870	Ankit Metal  & Power Limited	1411.10500
532872	Sun Pharma Advanced Research C	3244.99774
532873	Housing Development & Infrastr	4740.03986
532874	Suryachakra Power Corporation	1496.32960
532875	Allied Digital Services Limite	566.45328
532878	Alpa Laboratories Limited	210.40600
532879	Sir Shadi Lal Enterprises Ltd	52.50000
532880	OMAXE LIMITED	1829.00540
532884	Refex Industries Limited	1372.19448
532885	Central Bank of India	90514.01274
532886	SEL Manufacturing Company Limi	331.34700
532887	Neueon Corporation Limited	5654.45520
532888	ASIAN GRANITO INDIA LIMITED	2964.75285
532889	K.P.R. Mill Ltd.	3418.14000
532890	Take Solutions Ltd	1479.34000
532891	Puravankara Limited	2371.49686
532892	Motilal Oswal Financial Servic	6021.46704
532893	VTM Ltd	1005.69000
532894	Indowind Energy Ltd.	1610.02170
532895	Nagreeka Capital & Infrastruct	126.15300
532896	MAGNUM VENTURES LIMITED	684.11317
532898	POWER GRID CORPORATION OF INDI	93006.03819
532899	Kaveri Seed Company Ltd	514.39071
532900	PAISALO DIGITAL LIMITED	9095.21874
532902	Consolidated Construction Cons	4467.59451
532904	Supreme Infrastructure India L	967.35760
532906	MAAN ALUMINIUM LIMITED	599.84864
532907	IL&FS Engineering and Construc	1311.21078
532911	PARLE INDUSTRIES LIMITED	488.40000
532914	Arcotech Limited (Formerly SKS	1050.00000
532915	Religare Enterprises Ltd	3328.90479
532916	BARAK VALLEY CEMENTS LIMITED	221.60000
532918	RATHI BARS LIMITED	163.30357
532921	Adani Ports and Special Econom	23039.59098
532922	Edelweiss Financial Services L	9465.31653
532923	RENAISSANCE GLOBAL LIMITED	1073.96471
532924	Kolte-Patil Developers Ltd	886.80094
532925	Kaushalya Infrastructure Devel	3.46306
532926	JYOTHY LABS LIMITED	3672.14511
532927	eClerx Services Limited	940.50718
532928	Transformers and Rectifiers (I	3001.65834
532929	Brigade Enterprises Limited	3261.62380
532930	BGR ENERGY SYSTEMS LIMITED	721.61560
532931	Burnpur Cement Limited	172.24873
532932	MANAKSIA LIMITED	655.34050
532933	PORWAL AUTO COMPONENTS LIMITED	151.00000
532934	PPAP Automotive Limited	141.52987
532935	Aries Agro Limited	130.04339
532937	Kuantum Papers Limited	872.63630
532939	Reliance Power Limited	41357.70966
532940	J. Kumar Infraprojects Limited	756.65506
532941	Cords Cable Industries Limited	129.27780
532942	KNR Constructions Limited	2812.34600
532944	OnMobile Global Ltd.	1063.54686
532945	SEPC LIMITED	16234.82500
532946	Bang Overseas Ltd	135.60000
532947	IRB Infrastructure Developers	120780.00000
532948	Tulsi Extrusions Limited	274.94610
532951	GSS Infotech Ltd	261.56843
532952	Nahar Capital & Financial Serv	167.46167
532953	V-Guard Industries Ltd.	4369.14967
532955	REC LIMITED	26332.24000
532957	GOKAK TEXTILES LTD.	64.99308
532959	AJR INFRA AND TOLLING LIMITED	9418.30724
532966	TITAGARH RAIL SYSTEMS LIMITED	1346.73768
532967	KIRI INDUSTRIES LIMITED	651.68000
532972	Sankhya Infotech Ltd.	143.95504
532974	Aditya Birla  Money Ltd	565.09201
532975	TELOGICA LIMITED	653.23032
532976	Jai Balaji Industries Limited	9122.51430
532977	Bajaj Auto Limited	2794.97838
532978	Bajaj Finserv Limited	16020.61346
532980	Gokul Refoils and Solvent Limi	989.95000
532983	RPG Life Sciences Limited	165.39015
532986	Niraj Cement Structurals Limit	596.94340
532989	Bafna Pharmaceuticals Limited	236.56335
532990	Metkore Alloys & Industries Lt	704.26475
532992	CHL Limited	548.18290
532993	SEJAL GLASS LIMITED	114.00000
532994	Archidply Industries Limited	198.65000
532997	KSK Energy Ventures  Limited	4239.85774
532998	Lotus Eye Hospital And Institu	207.96330
533001	SOMI CONVEYOR BELTINGS LIMITED	117.79656
533006	Birla Cotsyn (India) Limited	2643.39940
533007	LGB Forge Limited	2382.02463
533012	Landmark Property Development	1341.43160
533014	Sicagen India Limited	395.71684
533015	Nu Tek India Limited	1545.18600
533017	Resurgere Mines & Minerals Ind	1988.74644
533018	SIMPLEX MILLS COMPANY LIMITED	0.30004
533019	SIMPLEX PAPERS LTD.	0.30014
533022	20 Microns Limited	352.86502
533023	ZF Commercial Vehicle Control	1138.05504
533029	Alkali Metals Limited	101.82506
533033	ISGEC Heavy Engineering Limite	735.29510
533047	Indian Metals & Ferro Alloys L	539.54106
533048	Teamo Productions HQ Limited	10962.19600
533056	VEDAVAAG Systems Limited	234.64200
533078	Manjeera Constructions Limited	125.08418
533079	Sand Plast (India) Ltd.	232.00000
533080	Mold-Tek Packaging Limited	332.28914
533088	Mahindra Holidays & Resorts In	2020.56152
533090	Landsmill Green Limited	14106.95055
533093	RAJ OIL MILLS LIMITED	149.88684
533095	Bengal & Assam Company Limited	114.03899
533096	Adani Power Limited	192846.94705
533098	NHPC Limited	100450.34805
533100	Premier Energy and Infrastruct	413.50060
533101	Suryaamba Spinning Mills Limit	29.31944
533104	Globus Spirits Limited	314.61293
533106	Oil India Limited	16266.07791
533107	SWAN DEFENCE AND HEAVY INDUSTR	526.82150
533108	Bhilwara Technical Textiles Li	583.73305
533109	Euro Multivision Limited	238.00049
533110	Shree Precoated Steels Limited	41.39902
533121	EXPLEO SOLUTIONS LIMITED	155.19739
533122	RattanIndia Power Limited	53701.05860
533137	DEN Networks Limited	4772.23845
533138	ASTEC LIFESCIENCES LIMITED	222.82820
533146	D-Link (India) Ltd	355.04850
533148	JSW Energy Limited	18334.82736
533149	Yunik Managing Advisors Limite	142.87754
533150	Godrej Properties Limited	3012.25962
533151	D.B.Corp Limited	1782.54679
533152	MBL Infrastructure Ltd	1525.29256
533155	Jubilant Foodworks Limited	6598.45200
533156	Vascon Engineers Limited	2316.97111
533158	Thangamayil Jewellery Limited	310.82021
533160	VALOR ESTATE LIMITED	5424.06761
533161	Emmbi Industries Limited	192.40250
533162	Hathway Cable & Datacom Limite	17701.04500
533163	ARSS Infrastructure Projects L	227.37966
533164	Texmo Pipes and Products Limit	291.95000
533166	Sundaram Multi Pap Ltd.	4738.77773
533167	Coromandel Engineering Company	348.83438
533168	Rossell India Limited	376.96475
533169	MAN INFRACONSTRUCTION LIMITED	4036.66505
533170	TAMBOLI INDUSTRIES LIMITED	99.20000
533176	DQ Entertainment (Internationa	792.83000
533177	IL&FS Transportation Networks	3289.60027
533179	Persistent Systems Limited	1577.50000
533181	Intrasoft Technologies Limited	163.11678
533189	Goenka Diamond & Jewels Ltd	3170.00000
533192	K C P SUGAR AND INDUSTRIES COR	1133.85050
533193	KIRLOSKAR ELECTRIC COMPANY LTD	664.14071
533200	TALWALKARS BETTER VALUE FITNES	310.04856
533202	SATCHMO HOLDINGS LIMITED	1458.32100
533203	TARAPUR TRANSFORMERS LIMITED	195.00011
533204	GB GLOBAL LIMITED	33.14295
533206	SJVN LIMITED	39297.95175
533208	Emami Paper Mills Ltd.	604.99050
533210	Kriti Nutrients Ltd	501.03520
533212	GKB Ophthalmics Ltd.	50.40580
533216	TECHNOFAB ENGINEERING LIMITED	104.90000
533217	Hindustan Media Ventures Limit	736.71548
533218	EMAMI REALTY LIMITED	520.33889
533221	Asian Hotels (West) Ltd	116.51210
533227	Asian Hotels (East) Limited	172.91696
533229	BAJAJ CONSUMER CARE LIMITED	1311.29470
533239	Prakash Steelage Limited	1750.00390
533248	Gujarat Pipavav Port Limited	4834.39910
533252	Welspun Investments and Commer	36.54476
533257	INDOSOLAR LIMITED	416.03691
533259	HEALTH X PLATFORM LIMITED	318.10500
533260	CP CAPITAL LIMITED	181.92939
533261	Eros International Media Limit	959.14119
533262	Ramky Infrastructure Limited	691.97791
533263	Orient Green Power Company Lim	11730.31669
533267	CANTABIL RETAIL INDIA LIMITED	836.38040
533268	SEA TV Network Limited	120.20000
533269	VA Tech Wabag Limited	624.17456
533270	Bedmutha Industries Limited	322.63884
533271	Ashoka Buildcon Limited	2807.23217
533272	JUPITER WAGONS LIMITED	4273.70389
533273	OBEROI REALTY LIMITED	3636.02237
533274	Prestige Estates Projects Limi	4307.30232
533275	SHAH METACORP LIMITED	9823.74228
533278	Coal India Limited	61627.28327
533282	GRAVITA INDIA LIMITED	738.08451
533284	RPP INFRA PROJECTS LIMITED	495.80518
533285	RDB INFRASTRUCTURE AND POWER L	2100.09000
533286	MOIL Limited	2034.85211
533287	ZEE LEARN LIMITED	3277.31291
533289	Kesar Terminals & Infrastructu	109.26475
533292	A2Z Infra Engineering Limited	1775.22358
533293	Kirloskar Oil Engines Limited	1455.06298
533294	Ravi Kumar Distilleries Limite	240.00000
533295	PUNJAB & SIND BANK	70955.85220
533296	Future Market Networks Limited	606.44381
533298	Surana Solar Limited	492.06600
533301	SHEKHAWATI INDUSTRIES LIMITED	344.70000
533302	Kalyani Investment Company Lim	43.65306
533303	BF Investment Limited	376.67628
533306	SUMMIT SECURITIES LTD.	109.01781
533315	INNOVASSYNTH TECHNOLOGIES (IND	928.60696
533316	STEL Holdings Limited	184.55405
533317	OMKAR SPECIALITY CHEMICALS LIM	205.78004
533321	Bil Energy Systems Limited	2114.16000
533326	Texmaco Rail & Engineering Lim	4068.64572
533329	Indian Terrain Fashions Limite	506.67367
533333	Fineotex Chemical Limited	11645.00900
533336	Dhunseri Investments Ltd	60.97178
533339	Zen Technologies Ltd.	902.90356
533343	Lovable Lingerie Limited	148.00000
533344	PTC India Financial Services L	6422.83335
533398	MUTHOOT FINANCE LIMITED	4014.68476
533400	Future Consumer Limited	19970.34643
533407	TRUE GREEN BIO ENERGY LIMITED	329.57143
533427	VMS INDUSTRIES LIMITED	244.73391
533451	Karma Energy Limited	115.69918
533452	DELPHI WORLD MONEY LIMITED	2452.67775
533470	Rushil Decor Limited	2934.16820
533477	Enkei wheels (India) Limited	179.74895
533482	Kridhan Infra Limited	947.79205
533499	Bharatiya Global Infomedia Lim	158.43110
533506	INVENTURE GROWTH & SECURITIES	10500.00000
533519	L&T Finance Limited	25060.45818
533520	Indiabulls Limited	23295.43602
533540	Tree House Education & Accesso	423.10724
533543	BROOKS LABORATORIES LIMITED	294.57248
533552	RUPA & COMPANY LIMITED	795.24560
533553	TD Power Systems Ltd	1562.28430
533573	ALEMBIC PHARMACEUTICALS LIMITE	1965.63124
533576	Vaswani Industries Limited	329.46153
533581	PG Electroplast Limited	2864.37608
533602	Lesha Industries Limited	2838.89535
533605	SETUBANDHAN INFRASTRUCTURE LIM	1256.78260
533608	RDB Rasayans Limited	177.14800
533629	TIJARIA POLYPIPES LIMITED	286.26579
533632	Onelife Capital Advisors Ltd	373.60000
533638	FLEXITUFF VENTURES INTERNATION	328.22806
533644	Ujaas Energy Limited	1333.97814
533655	Triveni Turbine Limited	3178.94979
533676	Indo Thai Securities Limited	1286.18190
533704	Essar Shipping Ltd	2069.76072
533758	APL Apollo Tubes Limited	2776.58405
533761	GPT Infraprojects limited	1263.64600
533896	Fervent Synergies Limited	500.00000
533941	THOMAS SCOTT (INDIA) LIMITED	146.70380
533982	Tera Software Ltd.	125.11875
534060	PMC Fincorp Limited	7120.81600
534063	Futuristic Solutions Ltd.	104.73447
534064	Alliance Integrated Metaliks L	3949.50000
534076	RHI MAGNESITA INDIA LIMITED	2065.01426
534091	Multi Commodity Exchange of In	2549.91845
534109	Pyxis Finvest Limited	115.02585
534139	SCHNEIDER ELECTRIC INFRASTRUCT	2391.04035
534190	Olympic Cards Limited	163.08700
534309	NBCC (India) Limited	27000.00000
534312	MT EDUCARE LIMITED	722.28054
534328	Hexa Tradex Limited	552.44704
534338	Max heights Infrastucture Ltd	156.09225
534369	Tribhovandas Bhimji Zaveri Lim	667.30620
534392	Vardhman Special Steels Ltd	967.01178
534422	Looks Health Services Limited	105.00000
534425	Speciality Restaurants Limited	482.35657
534532	AURUS GEM CORPORATION LIMITED	294.84000
534535	STRING METAVERSE LIMITED	12199.09771
534563	MAX ALERT SYSTEMS LIMITED	91.99500
534564	ASEEM GLOBAL LIMITED	105.80398
534597	RATTANINDIA ENTERPRISES LIMITE	13822.69592
534598	Sampann Utpadan India Limited	488.10000
534600	JTL INDUSTRIES LIMITED	3930.81630
534612	ADVANCE METERING TECHNOLOGY LI	160.57466
534615	North Eastern Carrying Corpora	1045.00000
534618	WAAREE RENEWABLE TECHNOLOGIES	1043.45792
534623	Jupiter Infomedia Limited	100.20000
534639	VINAYAK POLYCON INTERNATIONAL	30.81295
534659	Jointeca Education Solutions L	100.15300
534674	Ducon Infratechnologies Limite	3249.25587
534675	PROZONE REALTY LIMITED	1526.02883
534680	SRG Housing Finance Limited	157.07588
534691	Comfort Commotrade Limited	100.20000
534708	SHANTI GURU INDUSTRIES LIMITED	123.10000
534732	CASPIAN CORPORATE SERVICES LIM	126.60000
534733	Aerpace Industries Limited	1538.57982
534741	VIRTUAL GLOBAL EDUCATION LTD.	5661.63698
534742	ZUARI AGRO CHEMICALS LIMITED	420.58006
534748	Steel Exchange India Ltd.	12755.18412
534755	Trio Mercantile & Trading Limi	679.36604
534758	Cigniti Technologies Ltd	275.46959
534796	CDG PETCHEM LIMITED	92.35500
534804	CARE Ratings Limited	300.87146
534809	PC JEWELLER LIMITED	86486.03175
534816	INDUS TOWERS LIMITED	26381.62757
534920	iSERA LIFESCIENCES LIMITED	84.08972
534976	V-Mart Retail Limited	795.48002
535136	NIBE LIMITED	149.41273
535204	Mukta Agriculture Limited	216.81771
535205	Mystic Electronics Limited	197.66248
535267	COMFORT FINCAP LIMITED	980.56500
535279	Bothra Metals & Alloys Limited	185.16640
535322	Repco Home Finance Limited	625.61362
535387	LAKHOTIA POLYESTERS (INDIA) LI	104.73988
535431	GCM Securities Limited	1899.60000
535458	NRB INDUSTRIAL BEARINGS LIMITE	242.30650
535466	SAMRUDDHI REALTY LIMITED	100.94400
535467	ASHAPURA INTIMATES FASHION LIM	252.11406
535514	Prime Capital Market Limited	100.00100
535566	KIFS Financial Services Ltd	108.18000
535601	Sreeleathers Limited	231.55012
535602	Sharda Motor Industries Ltd	574.07706
535620	Binny Mills Limited	25.83270
535621	S V Global Mill Limited	180.82970
535647	SDC TECHMEDIA LIMITED	64.92500
535648	Just Dial Limited	850.49032
535657	ObjectOne Information Systems	105.11900
535667	India Finsec Limited	291.91715
535693	BRAHMAPUTRA INFRASTRUCTURE LIM	290.18400
535719	AMPVOLTS LIMITED	257.10913
535730	Khoobsurat Ltd.	4702.73250
535754	ORIENT CEMENT LIMITED	2054.59873
535755	Aditya Birla Fashion and Retai	12205.10115
535789	Sammaan Capital Limited	11615.43321
535910	Money Masters Leasing & Financ	1003.82290
535916	Alacrity Securities Limited	466.60000
535917	GCM Commodity & Derivatives Li	74.27000
535958	Integra Essentia Limited	17552.83254
536073	JULIEN AGRO INFRATECH LIMITED	1191.56000
536264	Tiger Logistics (India) Limite	1057.25000
536456	R J BIO-TECH LIMITED	94.67600
536493	JK Agri Genetics Limited	46.36963
536507	Future Lifestyle Fashions Limi	2017.74874
536565	NOVELIX PHARMACEUTICALS LIMITE	238.95000
536644	Newever Trade Wings Limited	239.45200
536659	PVV Infra Limited	1302.83745
536672	VCU Data Management Limited	155.00000
536709	IND Renewable Energy Ltd	139.25856
536710	SRG FINGROW FINANCE LIMITED	53.75400
536737	Amrapali Capital and Finance S	97.78600
536738	STELLAR CAPITAL SERVICES LIMIT	249.61500
536773	JINDAL POLY INVESTMENT AND FIN	105.11929
536846	Yuranus Infrastructure Ltd	35.00000
536965	B.P.Capital Ltd.	60.11800
536974	CAPTAIN POLYPLAST LIMITED	601.78790
537069	Arnold Holdings Ltd	237.75000
537092	MODEX INTERNATIONAL SECURITIES	120.00000
537253	Sunil Healthcare Limited	102.54750
537254	JTL DEFENCE LIMITED	105.26315
537259	Suyog Telematics Limited	117.17120
537291	Nath Biogene India Ltd.	190.04000
537292	Agri-Tech India Ltd.	59.40000
537326	CHEMTECH INDUSTRIAL VALVES LIM	184.37333
537392	Keto Motors Limited	704.34472
537524	Viaan Industries Limited	1102.43100
537536	Denis Chem Lab Limited	138.76668
537573	Polymac Thermoformers Limited	47.81600
537582	Unishire Urban Infra Limited	243.58500
537669	LAXMIPATI ENGINEERING WORKS LI	57.52000
537707	LADDU GOPAL ONLINE SERVICES LI	1347.92580
537709	SHREE HANUMAN SUGAR & INDUSTRI	185.00000
537750	Kiran Vyapar Limited	272.84211
537766	B.C. Power Controls Limited	698.00000
537784	Karnimata Cold Storage Limited	50.84000
537785	RACE ECO CHAIN LIMITED	172.57200
537800	Mangalam Industrial Finance Li	14251.29928
537820	VIJI FINANCE LIMITED	1425.00000
537839	HBG HOTELS LIMITED	205.19260
537840	RAUNAQ INTERNATIONAL LIMITED	33.43243
537954	Shri Krishna Prasadam Limited	101.00000
537985	INFRONICS SYSTEMS LIMITED	79.26462
538081	Haria Apparels Limited	152.89800
538092	SHRI VASUPRADA PLANTATIONS LIM	82.84402
538119	R&B Denims Limited	2699.20320
538212	SHARP INVESTMENTS LTD	2420.97500
538268	Wonderla Holidays Limited	634.50048
538273	Response Informatics Limited	84.47502
538319	GCM Capital Advisors Limited	169.40000
538351	A.F. Enterprises Limited	334.37643
538365	INCREDIBLE INDUSTRIES LIMITED	467.63750
538382	WEST LEISURE RESORTS LIMITED	30.53337
538395	Nam Securities Ltd.	53.92000
538401	MAESTROS ELECTRONICS & TELECOM	55.10237
538422	Jackson Investments Limited	2907.08050
538446	MONEYBOXX FINANCE LIMITED	698.09200
538451	Worth Investment & Trading Co	3707.17000
538452	Quasar India Limited	4759.41600
538464	Thirani Projects Limited	202.12875
538465	Amarnath Securities Ltd.	30.00200
538476	Capital Trade Links Limited	1287.60000
538496	Tarini International Limited	129.98000
538520	SHIVAMSHREE BUSINESSES LIMITED	756.50000
538521	YAAN ENTERPRISES LIMITED	31.00000
538537	PIPAN OILS LIMITED	175.28007
538539	ANNVRRIDHHI VENTURES LIMITED	162.00000
538540	RAAMA FINANCE LIMITED	811.62000
538542	GoldCoin Health Foods Limited	15.00450
538546	Bansal Roofing Products Limite	131.83200
538547	Oasis Tradelink Limited	108.74636
538556	Arman Holdings Limited	52.10500
538562	Skipper Limited	1128.84859
538563	SMT ENGINEERING LIMITED	180.70000
538564	James Warren Tea Limited	37.00000
538565	Vistar Amar Limited	57.60000
538567	Gulf Oil Lubricants India Limi	495.55526
538568	Fruition Venture Limited	40.00000
538569	Triveni Enterprises Limited	572.40000
538570	Achal Investments Limited	630.97890
538576	Bhanderi Infracon Limited	25.96600
538579	ZINEMA MEDIA AND ENTERTAINMENT	71.14500
538596	CEMANTIC INFRA-TECH LIMITED	250.65630
538597	TTI Enterprise Limited	254.04422
538598	Vishal Fabrics Limited	2476.10003
538607	TOYAM SPORTS LIMITED	5778.15000
538609	Gajanan Securities Services Lt	31.02000
538610	Unison Metals Ltd	2962.22870
538611	Real Touch Finance Limited	126.92690
538634	Vasundhara Rasayans Ltd.	31.78200
538635	SNOWMAN LOGISTICS LIMITED	1670.87995
538646	QGO FINANCE LIMITED	69.52800
538647	Purshottam Investofin Limited	74.23295
538652	HIND COMMERCE LIMITED	30.00000
538666	Sharda Cropchem Limited	902.20495
538667	Sirohia & Sons Limited	102.55092
538668	Meghna Infracon Infrastructure	217.23750
538674	City Online Services Limited	51.64700
538684	Encash Entertainment Limited	38.96496
